source_file,link_text,target_node
Organizations/HASTAC Leadership.md,Richard Marciano,Richard Marciano
Organizations/HASTAC Leadership.md,Mark C. Marino,Mark C. Marino
Organizations/HASTAC Leadership.md,Terry Mills,Terry Mills
Organizations/HASTAC Leadership.md,Nick Montfort,Nick Montfort
Organizations/HASTAC Leadership.md,Lisa Nakamura,Lisa Nakamura
Organizations/HASTAC Leadership.md,Alondra Nelson,Alondra Nelson
Organizations/HASTAC Leadership.md,Mark Olson,Mark Olson
Organizations/HASTAC Leadership.md,David Palumbo-Liu,David Palumbo-Liu
Organizations/HASTAC Leadership.md,Joyce Rudinsky,Joyce Rudinsky
Organizations/HASTAC Leadership.md,Nishant Shah,Nishant Shah
Organizations/HASTAC Leadership.md,Patrik Svensson,Patrik Svensson
Organizations/HASTAC Leadership.md,Brendesha Tynes,Brendesha Tynes
Organizations/HASTAC Leadership.md,S. Craig Watkins,S. Craig Watkins
Organizations/HASTAC Leadership.md,Paul Wouters,Paul Wouters
Organizations/HASTAC Leadership.md,Anne Balsamo,Anne Balsamo
Organizations/HASTAC Leadership.md,Cathy Davidson,Cathy Davidson
Organizations/HASTAC Leadership.md,Kevin Franklin,Kevin Franklin
Organizations/HASTAC Leadership.md,David Theo Goldberg,David Theo Goldberg
Organizations/HASTAC Leadership.md,Daniel Herwitz,Daniel Herwitz
Organizations/HASTAC Leadership.md,Julie Thompson Klein,Julie Thompson Klein
Organizations/HASTAC Leadership.md,Tara McPherson,Tara McPherson
Organizations/HASTAC Leadership.md,Timothy Murray,Timothy Murray
Organizations/HASTAC Leadership.md,Kathleen Woodward,Kathleen Woodward
Organizations/HASTAC Leadership.md,Simone Browne,Simone Browne
Organizations/HASTAC Leadership.md,Dixie Ching,Dixie Ching
Organizations/HASTAC Leadership.md,Daniel Chamberlain,Daniel Chamberlain
Organizations/HASTAC Leadership.md,Jade E. Davis,Jade E. Davis
Organizations/HASTAC Leadership.md,Jorge Duran,Jorge Duran
Organizations/HASTAC Leadership.md,Caitlin Fisher,Caitlin Fisher
Organizations/HASTAC Leadership.md,Mary Flanagan,Mary Flanagan
Organizations/HASTAC Leadership.md,Matt Gold,Matt Gold
Organizations/HASTAC Leadership.md,Adeline Koh,Adeline Koh
Organizations/HASTAC Leadership.md,Elizabeth Losh,Elizabeth Losh
Organizations/HASTAC Leadership.md,Richard Marciano,Richard Marciano
Organizations/HASTAC Leadership.md,Mark C. Marino,Mark C. Marino
Organizations/HASTAC Leadership.md,Alondra Nelson,Alondra Nelson
Organizations/HASTAC Leadership.md,David Palumbo-Liu,David Palumbo-Liu
Organizations/HASTAC Leadership.md,Joyce Rudinsky,Joyce Rudinsky
Organizations/HASTAC Leadership.md,Jentery Sayers,Jentery Sayers
Organizations/HASTAC Leadership.md,Nishant Shah,Nishant Shah
Organizations/HASTAC Leadership.md,S. Craig Watkins,S. Craig Watkins
Organizations/HASTAC Leadership.md,Ruzena Bajcsy,Ruzena Bajcsy
Organizations/HASTAC Leadership.md,John Seely Brown,John Seely Brown
Organizations/HASTAC Leadership.md,Wendy Hui Kyong Chun,Wendy Hui Kyong Chun
Organizations/HASTAC Leadership.md,Allison Clark,Allison Clark
Organizations/HASTAC Leadership.md,Dan Cohen,Dan Cohen
Organizations/HASTAC Leadership.md,Sharon Daniel,Sharon Daniel
Organizations/HASTAC Leadership.md,Geraldine Heng,Geraldine Heng
Organizations/HASTAC Leadership.md,Tom MacCalla,Tom MacCalla
Organizations/HASTAC Leadership.md,Nick Montfort,Nick Montfort
Organizations/HASTAC Leadership.md,Mark Olson,Mark Olson
Organizations/HASTAC Leadership.md,Patrik Svensson,Patrik Svensson
Organizations/HASTAC Leadership.md,Brendesha Tynes,Brendesha Tynes
Organizations/HASTAC Leadership.md,Paul Wouters,Paul Wouters
Organizations/HASTAC Leadership.md,Anne Balsamo,Anne Balsamo
Organizations/HASTAC Leadership.md,Cathy Davidson,Cathy Davidson
Organizations/HASTAC Leadership.md,Kevin Franklin,Kevin Franklin
Organizations/HASTAC Leadership.md,David Theo Goldberg,David Theo Goldberg
Organizations/HASTAC Leadership.md,Daniel Herwitz,Daniel Herwitz
Organizations/HASTAC Leadership.md,Julie Thompson Klein,Julie Thompson Klein
Organizations/HASTAC Leadership.md,Tara McPherson,Tara McPherson
Organizations/HASTAC Leadership.md,Timothy Murray,Timothy Murray
Organizations/HASTAC Leadership.md,Kathleen Woodward,Kathleen Woodward
Organizations/HASTAC Leadership.md,Simone Browne,Simone Browne
Organizations/HASTAC Leadership.md,Dixie Ching,Dixie Ching
Organizations/HASTAC Leadership.md,Daniel Chamberlain,Daniel Chamberlain
Organizations/HASTAC Leadership.md,Jade E. Davis,Jade E. Davis
Organizations/HASTAC Leadership.md,Caitlin Fisher,Caitlin Fisher
Organizations/HASTAC Leadership.md,Mary Flanagan,Mary Flanagan
Organizations/HASTAC Leadership.md,Elizabeth Losh,Elizabeth Losh
Organizations/HASTAC Leadership.md,Lisa Nakamura,Lisa Nakamura
Organizations/HASTAC Leadership.md,Joyce Rudinsky,Joyce Rudinsky
Organizations/HASTAC Leadership.md,Jentery Sayers,Jentery Sayers
Organizations/HASTAC Leadership.md,Nishant Shah,Nishant Shah
Organizations/HASTAC Leadership.md,Patrik Svensson,Patrik Svensson
Organizations/HASTAC Leadership.md,S. Craig Watkins,S. Craig Watkins
Organizations/HASTAC Leadership.md,Ruzena Bajcsy,Ruzena Bajcsy
Organizations/HASTAC Leadership.md,John Seely Brown,John Seely Brown
Organizations/HASTAC Leadership.md,Wendy Hui Kyong Chun,Wendy Hui Kyong Chun
Organizations/HASTAC Leadership.md,Allison Clark,Allison Clark
Organizations/HASTAC Leadership.md,Dan Cohen,Dan Cohen
Organizations/HASTAC Leadership.md,Sharon Daniel,Sharon Daniel
Organizations/HASTAC Leadership.md,Geraldine Heng,Geraldine Heng
Organizations/HASTAC Leadership.md,Tom MacCalla,Tom MacCalla
Organizations/HASTAC Leadership.md,Nick Montfort,Nick Montfort
Organizations/HASTAC Leadership.md,Mark Olson,Mark Olson
Organizations/HASTAC Leadership.md,Brendesha Tynes,Brendesha Tynes
Organizations/HASTAC Leadership.md,Paul Wouters,Paul Wouters
Organizations/HASTAC Leadership.md,Cathy Davidson,Cathy Davidson
Organizations/HASTAC Leadership.md,Kevin Franklin,Kevin Franklin
Organizations/HASTAC Leadership.md,David Theo Goldberg,David Theo Goldberg
Organizations/HASTAC Leadership.md,Daniel Herwitz,Daniel Herwitz
Organizations/HASTAC Leadership.md,Julie Thompson Klein,Julie Thompson Klein
Organizations/HASTAC Leadership.md,Tara McPherson,Tara McPherson
Organizations/HASTAC Leadership.md,Timothy Murray,Timothy Murray
Organizations/HASTAC Leadership.md,Kathleen Woodward,Kathleen Woodward
Organizations/HASTAC Leadership.md,Simone Browne,Simone Browne
Organizations/HASTAC Leadership.md,Dixie Ching,Dixie Ching
Organizations/HASTAC Leadership.md,Daniel Chamberlain,Daniel Chamberlain
Organizations/HASTAC Leadership.md,Dan Cohen,Dan Cohen
Organizations/HASTAC Leadership.md,Sharon Daniel,Sharon Daniel
Organizations/HASTAC Leadership.md,Jade E. Davis,Jade E. Davis
Organizations/HASTAC Leadership.md,Caitlin Fisher,Caitlin Fisher
Organizations/HASTAC Leadership.md,Mary Flanagan,Mary Flanagan
Organizations/HASTAC Leadership.md,Elizabeth Losh,Elizabeth Losh
Organizations/HASTAC Leadership.md,Lisa Nakamura,Lisa Nakamura
Organizations/HASTAC Leadership.md,Joyce Rudinsky,Joyce Rudinsky
Organizations/HASTAC Leadership.md,Jentery Sayers,Jentery Sayers
Organizations/HASTAC Leadership.md,Nishant Shah,Nishant Shah
Organizations/HASTAC Leadership.md,Patrik Svensson,Patrik Svensson
Organizations/HASTAC Leadership.md,S. Craig Watkins,S. Craig Watkins
Organizations/HASTAC Leadership.md,Paul Wouters,Paul Wouters
Organizations/HASTAC Leadership.md,Ruzena Bajcsy,Ruzena Bajcsy
Organizations/HASTAC Leadership.md,John Seely Brown,John Seely Brown
Organizations/HASTAC Leadership.md,Wendy Hui Kyong Chun,Wendy Hui Kyong Chun
Organizations/HASTAC Leadership.md,Allison Clark,Allison Clark
Organizations/HASTAC Leadership.md,Geraldine Heng,Geraldine Heng
Organizations/HASTAC Leadership.md,Tom MacCalla,Tom MacCalla
Organizations/HASTAC Leadership.md,Nick Montfort,Nick Montfort
Organizations/HASTAC Leadership.md,Mark Olson,Mark Olson
Organizations/HASTAC Leadership.md,Brendesha Tynes,Brendesha Tynes
Organizations/HASTAC Leadership.md,Anne Balsamo,Anne Balsamo
Organizations/HASTAC Leadership.md,Cathy Davidson,Cathy Davidson
Organizations/HASTAC Leadership.md,Kevin Franklin,Kevin Franklin
Organizations/HASTAC Leadership.md,David Theo Goldberg,David Theo Goldberg
Organizations/HASTAC Leadership.md,Daniel Herwitz,Daniel Herwitz
Organizations/HASTAC Leadership.md,Julie Thompson Klein,Julie Thompson Klein
Organizations/HASTAC Leadership.md,Tara McPherson,Tara McPherson
Organizations/HASTAC Leadership.md,Kathleen Woodward,Kathleen Woodward
Organizations/HASTAC Leadership.md,Simone Browne,Simone Browne
Organizations/HASTAC Leadership.md,Dixie Ching,Dixie Ching
Organizations/HASTAC Leadership.md,Wendy Hui Kyong Chun,Wendy Hui Kyong Chun
Organizations/HASTAC Leadership.md,Dan Cohen,Dan Cohen
